N,seconds,N,seconds,N,seconds
-65,0.00246952,-34,0.00125338,-99,0.00154217
-33,0.00248356,-18,0.0015467,-58,0.0020323
-41,0.00193598,-93,0.00224944,-10,0.00190972
-41,0.00186323,-93,0.00206787,-10,0.00220184
-32,0.00184852,-19,0.00328409,-21,0.00287197
-32,0.00193447,-19,0.00247109,-21,0.00176995
-32,0.00180803,-19,0.00222204,-21,0.00383386
-64,0.00170452,-8,0.00219742,-60,0.00273767
-64,0.00221691,-8,0.00287335,-60,0.00339455
-25,0.00164832,-4,0.00243385,-73,0.00190504
-31,0.0020026,-68,0.00194812,-35,0.0015024
-52,0.00165828,-32,0.00223639,-18,0.00239187
